"Módulo","Endpoint","Método","Descripción","Parámetros","Ejemplo de respuesta"
"Login","/auth/login","POST","Autentica al usuario con usuario y contraseña, devuelve token de sesión y datos básicos del usuario.","Body (JSON): { ""username"": string, ""password"": string }","{ ""token"": ""eyJhbGciOi..."", ""user"": { ""appUserId"": ""u0001"", ""username"": ""superadmin"", ""displayName"": ""Administrador Principal"", ""roleIds"": [""superadmin""], ""permissions"": [""view_dashboard"",""view_reconciliation"",""manage_users""] } }"
"Login","/auth/logout","POST","Cierra la sesión activa del usuario e invalida el token.","Header: Authorization: Bearer {token} (sin body)","{ ""success"": true }"
"Login","/auth/me","GET","Valida el token almacenado y devuelve los datos de la sesión activa (usado al recargar la app).","Header: Authorization: Bearer {token}","{ ""appUserId"": ""u0001"", ""username"": ""superadmin"", ""displayName"": ""Administrador Principal"", ""roleIds"": [""superadmin""], ""permissions"": [""view_dashboard"",""manage_users""] }"
"Administración de usuarios","/users","GET","Lista usuarios con filtros de búsqueda, rol, estado y paginación.","Query: search?, role?, status? (active|inactive|blocked), page?, pageSize?","{ ""data"": [ { ""id"": ""u0001"", ""firstName"": ""Administrador"", ""lastName"": ""Principal"", ""email"": ""admin@conciliacion.mx"", ""status"": ""active"", ""roleIds"": [""superadmin""] } ], ""total"": 25, ""page"": 1, ""pageSize"": 10 }"
"Administración de usuarios","/users/{id}","GET","Obtiene el detalle completo de un usuario.","Path: id (string)","{ ""id"": ""u0001"", ""firstName"": ""Administrador"", ""lastName"": ""Principal"", ""email"": ""admin@conciliacion.mx"", ""phone"": ""+52 55 1234 5678"", ""avatarUrl"": ""https://i.pravatar.cc/128?img=13"", ""status"": ""active"", ""createdAt"": ""2025-01-10T09:00:00"", ""lastAccessAt"": ""2026-08-27T09:14:00"", ""birthDate"": ""1975-01-01"", ""ssn"": ""300-10-1000"", ""gender"": ""Femenino"", ""address"": { ""city"": ""Ciudad de México"", ""state"": ""CDMX"", ""zipCode"": ""03100"", ""street1"": ""Av. Reforma"", ""street2"": null, ""exteriorNumber"": ""100"", ""interiorNumber"": ""1"" }, ""roleIds"": [""superadmin""], ""permissions"": [""view_dashboard"",""manage_users""], ""emailVerified"": true, ""failedLoginAttempts"": 0, ""twoFactorEnabled"": true, ""activeSessions"": 2, ""department"": ""Tecnología"", ""area"": ""Sistemas"", ""jobTitle"": ""Administrador de Plataforma"", ""managerId"": null, ""employeeId"": ""EMP-1000"", ""hireDate"": ""2025-01-10"", ""contractEndDate"": null }"
"Administración de usuarios","/users","POST","Crea un nuevo usuario.","Body (JSON): { ""firstName"": string, ""lastName"": string, ""email"": string, ""phone"": string, ""roleIds"": string[], ""status"": ""active""|""inactive""|""blocked"" }","{ ""id"": ""u0026"", ""firstName"": ""Laura"", ""lastName"": ""Gómez"", ""email"": ""laura.gomez@conciliacion.mx"", ""status"": ""active"", ""roleIds"": [""contabilidad""], ""createdAt"": ""2026-09-18T10:00:00"" }"
"Administración de usuarios","/users/{id}","PATCH","Actualiza información personal y organizacional de un usuario existente.","Path: id (string). Body (JSON, parcial): firstName?, lastName?, email?, phone?, address?, department?, area?, jobTitle?, managerId?, hireDate?, contractEndDate?","{ ""id"": ""u0001"", ""firstName"": ""Administrador"", ""lastName"": ""Principal"", ""department"": ""Tecnología"", ""area"": ""Sistemas"", ""jobTitle"": ""Administrador de Plataforma"" }"
"Administración de usuarios","/users/{id}/roles","PATCH","Cambia los roles y permisos asignados a un usuario.","Path: id (string). Body (JSON): { ""roleIds"": string[], ""permissions"": string[] }","{ ""id"": ""u0001"", ""roleIds"": [""admin""], ""permissions"": [""view_dashboard"",""manage_users""] }"
"Administración de usuarios","/users/{id}/status","PATCH","Cambia el estado de un usuario (activo, inactivo, bloqueado).","Path: id (string). Body (JSON): { ""status"": ""active""|""inactive""|""blocked"" }","{ ""id"": ""u0001"", ""status"": ""blocked"" }"
"Administración de usuarios","/users/{id}/verify-email","POST","Marca manualmente el correo del usuario como verificado.","Path: id (string) (sin body)","{ ""id"": ""u0001"", ""emailVerified"": true }"
"Administración de usuarios","/users/{id}/close-sessions","POST","Cierra todas las sesiones activas del usuario.","Path: id (string) (sin body)","{ ""id"": ""u0001"", ""activeSessions"": 0 }"
"Administración de usuarios","/users/{id}/reset-password","POST","Genera una contraseña temporal para el usuario (se muestra una sola vez).","Path: id (string) (sin body)","{ ""id"": ""u0001"", ""temporaryPassword"": ""Tmp-8f3a1c2b"" }"
"Administración de usuarios","/users/{id}","DELETE","Elimina (baja lógica) un usuario. El historial de auditoría se conserva.","Path: id (string)","{ ""success"": true, ""id"": ""u0001"" }"
"Administración de usuarios","/users/{id}/audit-log","GET","Obtiene el historial de auditoría de un usuario específico.","Path: id (string)","[ { ""id"": ""a1"", ""timestamp"": ""2025-01-10T09:00:00"", ""actorName"": ""Sistema"", ""targetUserId"": ""u0001"", ""targetUserName"": ""Administrador Principal"", ""action"": ""created"", ""detail"": ""Usuario creado con rol Administrador."" } ]"
"Administración de usuarios","/audit-log","GET","Obtiene el historial de auditoría global de todos los usuarios, con filtros.","Query: action? (created|updated|role_changed|permissions_changed|activated|deactivated|blocked|password_reset|deleted|organization_updated|email_verified|sessions_closed), search?","[ { ""id"": ""a2"", ""timestamp"": ""2026-08-20T11:30:00"", ""actorName"": ""Carlos Medina"", ""targetUserId"": ""u0018"", ""targetUserName"": ""Gabriela Vargas"", ""action"": ""role_changed"", ""detail"": ""Rol cambiado de Analista a Supervisor."" } ]"
"Administración de usuarios","/roles","GET","Catálogo de roles disponibles y sus permisos por defecto.","(sin parámetros)","[ { ""id"": ""admin"", ""name"": ""Administrador"", ""defaultPermissions"": [""manage_users"",""manage_roles""] } ]"
"Administración de usuarios","/permissions","GET","Catálogo de permisos disponibles en el sistema.","(sin parámetros)","[ { ""key"": ""view_dashboard"", ""label"": ""Ver dashboard"" }, { ""key"": ""manage_users"", ""label"": ""Administrar usuarios"" } ]"
"Administración de usuarios","/catalogs/organization","GET","Catálogos organizacionales usados en formularios (departamentos, áreas, puestos, géneros).","(sin parámetros)","{ ""departments"": [""Finanzas"",""Tecnología""], ""areas"": [""Conciliación Bancaria"",""Tesorería""], ""jobTitles"": [""Analista de Conciliación"",""Supervisor de Conciliación""], ""genders"": [""Femenino"",""Masculino"",""Otro"",""Prefiero no decir""] }"
"Dashboard - Resumen de venta","/sales","GET","Lista ventas con filtros de fecha, tienda, estado de conciliación, medio de pago y cliente. Alimenta la tabla del dashboard y el export CSV.","Query: dateFrom?, dateTo?, store? (polanco|condesa|roma|centro), status? (conciliado|desconciliado|por_conciliar), tenderMedia? (bbva|rappi|didi_food|efectivo), search?, page?, pageSize?","{ ""data"": [ { ""id"": ""V-2007"", ""folio"": ""F-100507"", ""date"": ""2026-08-27"", ""time"": ""14:02"", ""store"": ""roma"", ""tenderMedia"": ""bbva"", ""reconciliationStatus"": ""matched"", ""customer"": { ""name"": ""Roberto Nieto"" }, ""status"": ""completada"" } ], ""total"": 340, ""page"": 1, ""pageSize"": 10 }"
"Dashboard - Resumen de venta","/sales/export","GET","Genera y descarga un archivo CSV con las ventas que cumplen los filtros aplicados.","Query: mismos filtros que GET /sales, más format=csv","Respuesta binaria (Content-Type: text/csv), archivo descargable ""ventas_2026-08-27.csv"""
"Dashboard - Resumen de venta","/sales/{store}/{date}/reprocess","POST","Vuelve a ejecutar la conciliación de un día completo para una tienda específica. Botón 'Reprocesar' del toolbar, solo habilitado cuando los filtros acotan a un único día y una tienda específica (no 'Todas las tiendas' ni un rango de varios días).","Path: store (polanco|condesa|roma|centro), date (YYYY-MM-DD) (sin body)","{ ""store"": ""roma"", ""date"": ""2026-08-27"", ""status"": ""reprocessed"", ""reprocessedAt"": ""2026-09-21T10:15:00"" }"
"Dashboard - Conciliación bancaria","/reconciliation","GET","Lista filas de conciliación agrupadas por medio de pago y día, con filtros de estado, medio de pago y fecha.","Query: status? (conciliado|desconciliado|por_conciliar), tenderMedia? (bbva|rappi|didi_food|efectivo), dateFrom?, dateTo?","[ { ""date"": ""2026-08-27"", ""tenderMedia"": ""bbva"", ""soldAmount"": 24500.5, ""soldCount"": 18, ""settledAmount"": 24500.5, ""status"": ""conciliado"", ""difference"": 0 } ]"
"Dashboard - Conciliación bancaria","/reconciliation/kpis","GET","Devuelve series de 7 días para las tarjetas KPI (porcentaje conciliado y monto de discrepancias).","(sin parámetros, opcionalmente dateTo?)","{ ""reconciledPctTrend"": [ { ""date"": ""2026-08-21"", ""value"": 92.5 }, { ""date"": ""2026-08-22"", ""value"": 94.1 } ], ""discrepancyAmountTrend"": [ { ""date"": ""2026-08-21"", ""value"": 1250.0 } ] }"
"Dashboard - Conciliación bancaria","/tender-media/status","GET","Devuelve el estado de salud (al día / atrasado) de cada medio de pago.","(sin parámetros)","[ { ""tenderMedia"": ""rappi"", ""health"": ""delayed"", ""lastReconciledAt"": ""2026-08-25T18:00:00"", ""daysBehind"": 2 } ]"
"Dashboard - Conciliación bancaria","/reconciliation/{tenderMedia}/{date}/settlements","GET","Lista las transacciones bancarias liquidadas para un medio de pago y fecha específicos (modal 'Ver detalles').","Path: tenderMedia (bbva|rappi|didi_food|efectivo), date (YYYY-MM-DD)","[ { ""id"": ""S-1001"", ""date"": ""2026-08-27"", ""orderId"": ""SPEI0000129990"", ""tenderMedia"": ""bbva"", ""amount"": 1380.4, ""batchId"": ""B-771"", ""description"": ""Liquidación SPEI"" } ]"
"Dashboard - Conciliación bancaria","/reconciliation/{tenderMedia}/{date}/unreconcile","POST","Marca manualmente como 'desconciliado' un grupo medio de pago + día (acción irreversible en sesión).","Path: tenderMedia (bbva|rappi|didi_food|efectivo), date (YYYY-MM-DD) (sin body)","{ ""date"": ""2026-08-27"", ""tenderMedia"": ""bbva"", ""status"": ""desconciliado"" }"
"Dashboard - Conciliación bancaria","/bank-accounts","GET","Catálogo de cuentas bancarias disponibles para importar movimientos.","(sin parámetros)","[ { ""id"": ""CTA-001"", ""bankName"": ""Bancolombia"", ""accountNumber"": ""••• 4821"", ""accountType"": ""Ahorros"" } ]"
"Dashboard - Conciliación bancaria","/bank-imports","POST","Sube e importa un archivo de movimientos bancarios (CSV) para un medio de pago y cuenta bancaria.","multipart/form-data: tenderMedia (bbva|rappi|didi_food|efectivo), bankAccountId (string), file (archivo CSV)","{ ""importId"": ""IMP-3391"", ""tenderMedia"": ""bbva"", ""bankAccountId"": ""CTA-001"", ""rowsProcessed"": 120, ""rowsImported"": 115, ""rowsDuplicated"": 4, ""rowsRejected"": 1, ""rejections"": [ { ""row"": 47, ""reason"": ""Monto inválido"" } ] }"
"Detalle de venta","/sales/{id}","GET","Obtiene el detalle completo de una venta (items, pagos, factura electrónica, cliente). Alimenta el drawer de detalle abierto desde el dashboard de ventas.","Path: id (string)","{ ""id"": ""V-2007"", ""folio"": ""F-100507"", ""reference"": ""SPEI0000129990"", ""date"": ""2026-08-27"", ""time"": ""14:02"", ""store"": ""roma"", ""tenderMedia"": ""bbva"", ""reconciliationStatus"": ""matched"", ""customer"": { ""name"": ""Roberto Nieto"", ""email"": ""r.nieto@correo.com"", ""personType"": ""natural"", ""taxRegime"": ""responsable_iva"" }, ""invoice"": { ""prefix"": ""SETP"", ""number"": ""84216"", ""cufe"": ""3d9f...96hexchars"", ""issuedAt"": ""2026-08-27T14:02:00-05:00"" }, ""items"": [ { ""id"": ""I-1"", ""productName"": ""Café americano"", ""quantity"": 4, ""unitPrice"": 45 } ], ""payments"": [ { ""id"": ""PAY-V-2007-1"", ""method"": ""bbva"", ""amount"": 1380.4, ""reference"": ""SPEI0000129990"" } ], ""discountAmount"": 0, ""discountReason"": null, ""tipAmount"": 20, ""status"": ""completada"" }"
